Category: All categories

Month,নগদ সহায়তা: (Rangpur Division),ঔষধ: (Rangpur Division),ঔষধ: (Rangpur Division),ওষুধ: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,88
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,67
2016-09,0,0,0,0,48
2016-10,0,0,0,0,52
2016-11,0,0,0,0,98
2016-12,0,0,0,0,86
2017-01,0,0,0,0,0
2017-02,0,0,0,0,70
2017-03,0,0,0,0,100
2017-04,0,0,0,0,80
2017-05,0,0,0,0,67
2017-06,0,0,0,0,58
2017-07,0,0,0,0,54
2017-08,0,0,0,0,34
2017-09,0,0,0,0,47
2017-10,0,0,0,0,89
2017-11,0,0,0,0,67
2017-12,0,0,0,0,54
2018-01,0,0,0,0,42
2018-02,0,0,0,0,58
2018-03,0,0,0,0,48
2018-04,0,15,13,0,73
2018-05,0,24,12,10,58
2018-06,0,14,0,0,52
2018-07,0,9,0,0,46
2018-08,0,14,17,0,44
2018-09,0,8,9,0,48
2018-10,0,10,14,9,43
2018-11,0,13,14,0,56
2018-12,0,8,6,0,47
2019-01,0,10,13,0,50
2019-02,0,16,15,0,54
2019-03,0,18,13,0,54
2019-04,0,17,16,7,49
2019-05,0,18,16,0,60
2019-06,0,14,14,5,37
2019-07,0,12,13,0,52
2019-08,0,14,14,5,44
2019-09,0,13,13,7,52
2019-10,0,14,16,6,61
2019-11,0,18,17,0,46
2019-12,0,14,12,0,45
2020-01,0,13,14,5,43
2020-02,0,10,12,6,52
2020-03,0,22,20,8,39
2020-04,0,25,25,9,40
2020-05,0,23,23,10,38
2020-06,0,21,20,9,46
2020-07,0,20,20,8,48
2020-08,0,21,22,8,41
2020-09,0,21,20,7,39
2020-10,0,18,18,6,41
2020-11,0,17,16,5,35
2020-12,0,18,17,6,37
2021-01,0,17,17,6,41
2021-02,0,22,21,6,42
2021-03,0,18,16,7,38
2021-04,0,20,20,8,38
2021-05,0,17,16,6,37
2021-06,0,24,24,7,34
2021-07,0,22,22,9,31
2021-08,0,20,20,6,33
2021-09,0,22,22,8,32
2021-10,0,19,19,5,31
2021-11,0,19,20,9,40
2021-12,0,20,20,8,28
2022-01,0,23,23,6,34
2022-02,0,23,23,8,30
2022-03,0,25,25,7,39
2022-04,0,26,27,9,36
2022-05,0,24,25,8,36
2022-06,0,23,24,8,38
2022-07,0,25,25,10,27
2022-08,0,25,25,9,34
2022-09,0,26,25,10,38
2022-10,0,25,24,9,36
2022-11,0,23,23,9,36
2022-12,0,22,23,9,26
2023-01,0,26,25,9,28
2023-02,0,26,26,11,28
2023-03,0,26,25,11,29
2023-04,0,27,27,11,27
2023-05,0,28,28,13,31
2023-06,0,29,29,15,31
2023-07,0,29,29,13,24
2023-08,0,32,32,17,28
2023-09,0,32,32,15,25
2023-10,0,27,27,11,26
2023-11,0,28,28,13,26
2023-12,0,27,27,15,24
2024-01,0,25,25,13,25
2024-02,0,28,28,12,28
2024-03,0,26,26,12,26
2024-04,0,25,25,13,22
2024-05,0,20,20,11,27
2024-06,0,23,23,11,21
2024-07,0,23,23,11,26
2024-08,0,22,22,10,26
2024-09,0,23,23,10,27
2024-10,0,26,26,12,29
2024-11,0,27,28,14,28
2024-12,0,25,25,13,25
2025-01,0,23,23,13,27
2025-02,0,24,24,13,27
2025-03,0,24,23,14,30
2025-04,0,26,26,15,26
2025-05,0,24,24,12,26
2025-06,0,23,23,14,25
2025-07,0,25,24,15,22
2025-08,0,27,27,18,28
2025-09,0,28,28,16,23
