Month,civil,society,Email,governorate,governorate(2),province,province(2),Email_file1,province_file2,state,civil_file2,civil(2),Email_file2
2010-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,83,0,0,0,0,83,0,41,0,0,43
2014-09,0,0,90,0,0,0,0,90,0,0,0,0,47
2014-10,0,0,78,0,0,0,0,78,0,0,0,0,41
2014-11,0,0,75,0,0,0,0,75,0,0,0,0,39
2014-12,0,0,100,0,0,0,0,100,0,0,0,0,52
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,100,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12,0,0,80,0,0,0,0,80,0,0,0,0,42
2017-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04,0,0,70,0,0,0,0,70,0,0,0,0,37
2017-05,0,0,0,0,0,52,52,0,27,0,0,0,0
2017-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07,0,0,0,0,0,0,0,0,0,33,0,0,0
2017-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09,0,0,70,0,0,0,0,70,0,0,0,0,37
2017-10,0,0,55,0,0,0,0,55,0,24,0,0,29
2017-11,0,0,67,0,0,0,0,67,0,0,0,0,35
2017-12,0,0,59,0,0,0,0,59,0,0,0,0,31
2018-01,0,0,76,0,0,0,0,76,0,0,0,0,40
2018-02,0,0,55,0,0,0,0,55,0,0,0,0,29
2018-03,0,0,32,0,0,0,0,32,0,0,0,0,16
2018-04,0,0,40,0,0,0,0,40,0,0,0,0,21
2018-05,0,0,56,0,0,0,0,56,0,13,0,0,29
2018-06,0,0,22,0,0,0,0,22,0,0,0,14,12
2018-07,0,0,31,0,0,0,0,31,0,14,0,0,16
2018-08,0,0,44,0,0,0,0,44,0,0,0,0,23
2018-09,24,0,27,0,0,0,0,27,0,11,13,15,14
2018-10,19,0,47,0,0,0,0,47,0,18,10,10,25
2018-11,21,0,40,0,0,0,0,40,0,14,11,11,21
2018-12,0,0,42,0,0,0,0,42,0,14,0,0,22
2019-01,17,0,39,0,0,0,0,39,0,0,9,9,21
2019-02,25,18,40,0,0,0,0,40,0,12,13,13,21
2019-03,17,0,83,0,0,0,0,83,0,0,9,11,43
2019-04,17,0,61,0,0,0,0,61,0,0,9,9,32
2019-05,24,0,65,0,0,0,0,65,0,10,13,0,34
2019-06,0,0,29,0,0,0,0,29,0,0,0,0,15
2019-07,18,0,56,0,0,0,0,56,0,9,10,9,29
2019-08,15,0,60,0,0,0,0,60,0,11,8,11,31
2019-09,18,0,36,0,0,0,0,36,0,10,9,10,19
2019-10,14,0,43,0,0,0,0,43,0,11,7,8,22
2019-11,21,16,46,0,0,0,0,46,0,10,11,0,24
2019-12,20,15,41,0,0,0,0,41,0,12,10,11,22
2020-01,28,0,35,0,0,0,0,35,0,8,15,9,18
2020-02,16,10,44,0,0,0,0,44,0,12,8,9,23
2020-03,13,0,41,0,0,0,0,41,0,7,7,5,22
2020-04,14,9,42,0,0,0,0,42,0,9,7,4,22
2020-05,15,0,39,0,0,0,0,39,0,7,8,7,21
2020-06,20,7,61,0,0,0,0,61,0,7,10,11,32
2020-07,14,11,65,0,0,0,0,65,0,10,7,10,34
2020-08,16,9,50,0,0,0,0,50,0,7,8,8,26
2020-09,16,8,54,0,0,0,0,54,0,10,9,9,28
2020-10,13,6,54,0,0,0,0,54,0,8,7,6,28
2020-11,13,8,36,0,0,0,0,36,0,15,7,6,19
2020-12,15,0,46,0,0,0,0,46,0,10,8,7,24
2021-01,15,6,36,0,0,0,0,36,0,10,8,10,19
2021-02,12,0,32,0,0,0,0,32,0,6,6,7,17
2021-03,10,9,40,0,0,0,0,40,0,8,5,5,21
2021-04,9,8,38,0,0,0,0,38,0,12,4,5,20
2021-05,12,0,33,0,0,0,0,33,0,13,6,8,17
2021-06,17,7,43,0,0,0,0,43,0,15,9,9,22
2021-07,10,8,30,0,0,4,4,30,2,13,5,5,16
2021-08,15,9,32,0,0,0,0,32,0,8,8,9,17
2021-09,14,9,28,0,0,0,0,28,0,12,7,7,15
2021-10,13,0,28,0,0,0,0,28,0,10,7,7,15
2021-11,17,9,35,0,0,0,0,35,0,13,9,9,18
2021-12,18,11,27,0,0,0,0,27,0,11,10,9,14
2022-01,19,6,31,0,0,0,0,31,0,9,10,10,16
2022-02,12,7,35,0,0,0,0,35,0,10,6,7,18
2022-03,11,8,38,0,0,0,0,38,0,13,6,6,20
2022-04,12,5,42,0,0,0,0,42,0,10,6,6,22
2022-05,13,5,43,0,0,0,0,43,0,8,7,7,22
2022-06,11,10,41,0,0,0,0,41,0,8,6,6,21
2022-07,11,6,36,0,0,0,0,36,0,9,6,6,19
2022-08,13,5,38,0,0,0,0,38,0,11,7,7,20
2022-09,15,7,50,0,0,0,0,50,0,11,8,8,26
2022-10,9,6,44,0,0,0,0,44,0,9,5,4,23
2022-11,8,5,46,0,0,0,0,46,0,8,4,3,24
2022-12,9,6,31,0,0,0,0,31,0,9,5,5,16
2023-01,12,8,29,0,0,0,0,29,0,9,6,6,15
2023-02,18,5,32,0,0,0,0,32,0,10,10,8,16
2023-03,12,6,33,0,0,0,0,33,0,9,6,6,17
2023-04,9,4,35,0,0,0,0,35,0,9,5,4,18
2023-05,13,6,41,0,0,0,0,41,0,9,7,6,21
2023-06,8,5,38,0,0,0,0,38,0,9,4,3,20
2023-07,11,0,34,0,0,0,0,34,0,10,6,6,18
2023-08,13,6,41,0,0,0,0,41,0,10,7,8,22
2023-09,9,3,33,0,0,0,0,33,0,9,5,5,17
2023-10,8,5,32,0,0,0,0,32,0,6,4,3,17
2023-11,9,6,38,0,0,0,0,38,0,8,5,5,20
2023-12,8,5,29,0,0,0,0,29,0,10,4,4,15
2024-01,12,6,34,0,0,0,0,34,0,9,6,6,18
2024-02,11,5,34,0,0,0,0,34,0,9,6,6,18
2024-03,14,6,38,0,0,0,0,38,0,10,8,8,20
2024-04,24,2,25,0,0,0,0,25,0,12,13,12,13
2024-05,19,7,31,0,0,0,0,31,0,9,10,10,16
2024-06,7,6,27,0,0,0,0,27,0,6,4,4,14
2024-07,6,3,28,0,0,0,0,28,0,8,3,4,14
2024-08,6,5,33,0,0,0,0,33,0,12,3,4,17
2024-09,9,4,33,0,0,0,0,33,0,11,5,5,17
2024-10,5,4,33,0,0,0,0,33,0,11,3,3,17
2024-11,7,6,36,0,0,0,0,36,0,11,4,3,19
2024-12,10,7,34,0,0,0,0,34,0,11,5,6,18
2025-01,8,4,33,0,0,0,0,33,0,10,4,3,17
2025-02,9,4,31,0,0,0,0,31,0,8,5,4,16
2025-03,6,0,27,0,0,0,0,27,0,11,3,4,14
2025-04,11,6,31,0,0,3,3,31,2,9,6,6,16
2025-05,15,4,26,0,0,0,0,26,0,8,8,8,14
2025-06,14,3,35,0,0,0,0,35,0,7,7,7,18
2025-07,13,3,29,0,0,0,0,29,0,9,7,7,15
2025-08,12,5,30,0,0,0,0,30,0,9,6,6,16
2025-09,9,5,29,0,0,1,1,29,1,8,5,5,15
