Month,civil,society,Email,governorate,governorate(2),province,province(2),state,civil(2)
2004-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
