Category: All categories

Month,cotton: (Sylhet Division),date: (Sylhet Division),dates: (Sylhet Division),vegetables: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,100,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,68
2014-04,0,59,0,0,0
2014-05,0,51,0,0,0
2014-06,0,39,0,0,52
2014-07,0,43,0,0,0
2014-08,0,33,0,0,33
2014-09,0,53,0,0,0
2014-10,0,20,0,0,9
2014-11,0,21,0,0,15
2014-12,0,19,0,0,16
2015-01,0,18,0,0,14
2015-02,0,26,0,0,19
2015-03,0,31,0,0,11
2015-04,0,21,0,0,13
2015-05,4,27,0,0,13
2015-06,0,21,0,0,21
2015-07,0,0,0,0,56
2015-08,0,47,0,0,22
2015-09,0,48,0,0,22
2015-10,0,63,0,0,39
2015-11,0,33,0,0,41
2015-12,0,55,0,0,49
2016-01,0,31,0,0,29
2016-02,0,34,0,0,25
2016-03,0,38,0,0,26
2016-04,0,25,0,0,23
2016-05,0,36,0,0,27
2016-06,0,45,0,0,15
2016-07,0,44,0,12,29
2016-08,0,42,0,0,23
2016-09,0,37,0,0,17
2016-10,0,32,0,0,28
2016-11,0,39,0,0,23
2016-12,0,38,0,0,22
2017-01,0,38,0,0,25
2017-02,0,35,0,0,23
2017-03,0,31,0,0,20
2017-04,0,34,0,0,23
2017-05,0,45,0,0,24
2017-06,0,44,0,0,13
2017-07,0,40,0,0,22
2017-08,0,43,0,0,18
2017-09,0,44,6,0,15
2017-10,0,42,4,0,17
2017-11,0,38,0,0,21
2017-12,0,39,0,0,19
2018-01,0,29,3,0,18
2018-02,0,26,0,0,17
2018-03,3,39,4,0,24
2018-04,0,40,3,0,22
2018-05,0,45,4,0,17
2018-06,4,45,8,0,18
2018-07,3,46,0,0,22
2018-08,0,45,0,0,22
2018-09,2,58,0,0,18
2018-10,3,56,0,0,20
2018-11,0,38,0,0,21
2018-12,2,55,3,0,16
2019-01,0,40,4,0,17
2019-02,0,41,3,0,23
2019-03,3,47,3,0,24
2019-04,0,60,0,0,25
2019-05,0,72,4,0,31
2019-06,0,45,3,0,23
2019-07,4,50,4,0,25
2019-08,2,56,4,0,24
2019-09,3,65,3,2,23
2019-10,2,59,3,0,23
2019-11,2,43,0,2,22
2019-12,0,75,3,0,19
2020-01,2,44,0,0,21
2020-02,2,44,3,2,23
2020-03,2,43,3,3,23
2020-04,2,53,2,2,22
2020-05,3,62,2,2,22
2020-06,3,49,1,0,27
2020-07,3,55,2,2,28
2020-08,3,49,2,0,23
2020-09,4,44,3,1,24
2020-10,3,48,4,0,23
2020-11,3,48,4,0,20
2020-12,2,40,2,1,22
2021-01,3,48,2,1,19
2021-02,2,49,2,1,20
2021-03,2,56,3,1,20
2021-04,2,36,4,0,16
2021-05,3,46,3,1,17
2021-06,3,50,3,1,19
2021-07,2,53,2,1,16
2021-08,3,46,3,1,17
2021-09,4,43,3,0,17
2021-10,3,43,2,1,16
2021-11,2,39,2,1,18
2021-12,2,44,3,1,16
2022-01,2,45,2,0,17
2022-02,2,56,2,1,18
2022-03,3,48,3,1,19
2022-04,2,52,3,1,19
2022-05,2,48,2,1,19
2022-06,2,52,2,1,21
2022-07,3,48,2,1,18
2022-08,2,48,2,1,20
2022-09,2,44,3,1,24
2022-10,2,46,2,1,21
2022-11,1,48,3,1,21
2022-12,2,50,2,1,13
2023-01,1,50,2,1,15
2023-02,2,56,2,1,16
2023-03,2,45,3,1,16
2023-04,2,45,3,1,14
2023-05,1,57,2,1,19
2023-06,3,57,2,1,20
2023-07,2,50,2,<1,15
2023-08,2,49,2,1,18
2023-09,1,51,2,1,17
2023-10,2,45,1,1,16
2023-11,1,48,2,1,17
2023-12,2,55,2,1,14
2024-01,2,49,2,1,14
2024-02,1,47,2,1,16
2024-03,2,45,2,1,15
2024-04,2,47,2,1,14
2024-05,2,51,2,1,14
2024-06,2,45,1,0,12
2024-07,2,47,2,1,14
2024-08,2,39,2,<1,14
2024-09,3,47,2,1,15
2024-10,2,47,2,1,15
2024-11,2,40,1,1,15
2024-12,1,42,2,1,15
2025-01,1,45,1,1,17
2025-02,2,41,2,1,13
2025-03,2,42,2,1,13
2025-04,1,37,2,1,13
2025-05,1,43,1,1,13
2025-06,1,42,1,<1,14
2025-07,2,47,1,0,14
2025-08,2,40,2,1,13
2025-09,2,38,1,<1,13
