Month,province,state,civil,civil(2),Email,governorate,governorate(2),province_file1,province(2),Email_file1,civil_file2,society,Email_file2
2008-12,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-01,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-02,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-03,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-04,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-05,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-06,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-07,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-08,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-09,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-10,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-11,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2009-12,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-01,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-02,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-03,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-04,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-05,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-06,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-07,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-08,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-09,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-10,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-11,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2010-12,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-01,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-02,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-03,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-04,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-05,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-06,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-07,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-08,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-09,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-10,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-11,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2011-12,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-01,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-02,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-03,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-04,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-05,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-06,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-07,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-08,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-09,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-10,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2012-11,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,100.0,0
2012-12,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-01,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-02,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-03,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-04,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-05,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-06,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-07,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-08,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-09,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-10,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-11,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2013-12,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-01,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-02,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-03,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-04,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-05,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-06,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-07,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-08,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-09,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-10,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-11,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2014-12,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2015-01,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2015-02,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2015-03,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2015-04,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2015-05,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2015-06,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2015-07,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2015-08,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0
2015-09,0.0,0,0,0,100,0.0,0,0.0,0.0,100,0.0,0.0,13
2015-10,0.0,54,0,0,57,0.0,0,0.0,0.0,57,0.0,0.0,7
2015-11,0.0,36,0,0,86,0.0,0,0.0,0.0,86,0.0,0.0,11
2015-12,0.0,39,0,0,84,0.0,0,0.0,0.0,84,0.0,0.0,11
2016-01,0.0,27,0,18,55,0.0,0,0.0,0.0,55,2.0,0.0,7
2016-02,0.0,25,0,0,40,0.0,0,0.0,0.0,40,0.0,0.0,5
2016-03,0.0,20,0,0,43,0.0,0,0.0,0.0,43,0.0,0.0,5
2016-04,0.0,0,0,0,59,0.0,0,0.0,0.0,59,0.0,0.0,7
2016-05,0.0,27,45,40,39,0.0,0,0.0,0.0,39,5.0,0.0,5
2016-06,0.0,42,0,20,57,0.0,0,0.0,0.0,57,3.0,0.0,7
2016-07,0.0,34,15,22,59,0.0,0,0.0,0.0,59,3.0,2.0,7
2016-08,15.0,21,16,17,46,0.0,0,15.0,0.0,46,2.0,0.0,6
2016-09,0.0,32,0,0,27,0.0,0,0.0,0.0,27,0.0,0.0,3
2016-10,0.0,18,15,0,40,0.0,0,0.0,0.0,40,0.0,0.0,5
2016-11,0.0,25,0,0,44,0.0,0,0.0,0.0,44,0.0,0.0,6
2016-12,0.0,23,0,12,36,0.0,0,0.0,0.0,36,2.0,0.0,4
2017-01,0.0,16,0,0,43,0.0,0,0.0,0.0,43,0.0,0.0,5
2017-02,0.0,16,11,10,37,0.0,0,0.0,0.0,37,1.0,0.0,5
2017-03,0.0,13,0,0,37,0.0,0,0.0,0.0,37,0.0,0.0,5
2017-04,0.0,20,16,17,34,0.0,0,0.0,0.0,34,2.0,0.0,4
2017-05,0.0,15,14,8,30,0.0,0,0.0,0.0,30,1.0,1.0,4
2017-06,0.0,17,9,8,25,0.0,0,0.0,0.0,25,1.0,0.0,3
2017-07,0.0,19,8,9,33,0.0,0,0.0,0.0,33,1.0,1.0,4
2017-08,0.0,10,0,7,33,0.0,0,0.0,0.0,33,1.0,1.0,4
2017-09,0.0,23,11,11,36,0.0,0,0.0,0.0,36,1.0,1.0,5
2017-10,0.0,20,7,8,36,0.0,0,0.0,0.0,36,1.0,1.0,5
2017-11,0.0,24,5,7,42,0.0,0,0.0,0.0,42,1.0,1.0,5
2017-12,0.0,22,12,10,40,0.0,0,0.0,0.0,40,1.0,0.0,5
2018-01,0.0,21,12,9,37,0.0,0,0.0,0.0,37,1.0,1.0,5
2018-02,0.0,22,10,7,47,0.0,0,0.0,0.0,47,1.0,1.0,6
2018-03,0.0,23,8,11,43,0.0,0,0.0,0.0,43,1.0,0.0,5
2018-04,0.0,14,8,7,43,0.0,0,0.0,0.0,43,1.0,1.0,5
2018-05,0.0,13,8,8,31,0.0,0,0.0,0.0,31,1.0,1.0,4
2018-06,0.0,15,9,9,26,0.0,0,0.0,0.0,26,1.0,0.0,3
2018-07,0.0,11,12,12,36,0.0,0,0.0,0.0,36,2.0,1.0,4
2018-08,0.0,13,7,7,30,0.0,0,0.0,0.0,30,1.0,1.0,4
2018-09,0.0,20,11,10,35,0.0,0,0.0,0.0,35,1.0,1.0,4
2018-10,0.0,23,9,10,31,0.0,0,0.0,0.0,31,1.0,1.0,4
2018-11,0.0,18,11,10,40,0.0,0,0.0,0.0,40,1.0,1.0,5
2018-12,0.0,13,7,7,39,0.0,0,0.0,0.0,39,1.0,0.5,5
2019-01,0.0,11,8,7,23,0.0,0,0.0,0.0,23,1.0,0.5,3
2019-02,0.0,10,6,5,31,0.0,0,0.0,0.0,31,1.0,1.0,4
2019-03,0.0,12,6,6,30,0.0,0,0.0,0.0,30,1.0,0.5,4
2019-04,0.0,11,9,9,29,0.0,0,0.0,0.0,29,1.0,1.0,4
2019-05,0.0,8,5,5,29,0.0,0,0.0,0.0,29,1.0,0.5,4
2019-06,0.0,7,5,5,18,0.0,0,0.0,0.0,18,1.0,0.5,2
2019-07,0.0,9,8,8,21,0.0,0,0.0,0.0,21,1.0,0.5,3
2019-08,0.0,9,6,6,27,0.0,0,0.0,0.0,27,1.0,0.5,3
2019-09,0.0,12,6,6,26,0.0,0,0.0,0.0,26,1.0,0.5,3
2019-10,0.0,10,6,6,26,0.0,0,0.0,0.0,26,1.0,0.5,3
2019-11,0.0,11,6,6,29,0.0,0,0.0,0.0,29,1.0,0.5,4
2019-12,0.0,11,6,6,21,0.0,0,0.0,0.0,21,1.0,0.5,3
2020-01,0.0,8,6,7,25,0.0,0,0.0,0.0,25,1.0,0.5,3
2020-02,0.0,9,6,6,27,0.0,0,0.0,0.0,27,1.0,0.5,3
2020-03,0.0,11,7,9,30,0.0,0,0.0,0.0,30,1.0,0.5,4
2020-04,0.0,14,6,6,37,0.0,0,0.0,0.0,37,1.0,1.0,5
2020-05,0.0,14,9,9,40,0.0,0,0.0,3.0,40,1.0,0.5,5
2020-06,0.0,12,9,10,43,0.0,0,0.0,0.0,43,1.0,1.0,5
2020-07,0.0,12,9,9,47,0.0,0,0.0,2.0,47,1.0,0.5,6
2020-08,0.0,16,11,11,46,0.0,0,0.0,0.0,46,1.0,1.0,6
2020-09,0.0,15,9,9,46,0.0,0,0.0,0.0,46,1.0,1.0,6
2020-10,0.0,15,8,7,43,0.0,0,0.0,0.0,43,1.0,1.0,5
2020-11,0.0,19,8,8,41,0.0,0,0.0,2.0,41,1.0,1.0,5
2020-12,0.0,15,8,8,39,0.0,0,0.0,0.0,39,1.0,1.0,5
2021-01,0.0,15,13,13,35,0.0,0,0.0,0.0,35,2.0,0.5,4
2021-02,0.0,15,9,9,34,0.0,0,0.0,0.0,34,1.0,1.0,4
2021-03,0.0,14,6,6,32,0.0,0,0.0,0.0,32,1.0,0.5,4
2021-04,0.0,15,6,7,31,0.0,0,0.0,0.0,31,1.0,0.5,4
2021-05,0.0,18,7,6,29,0.0,0,0.0,0.0,29,1.0,0.5,4
2021-06,0.0,22,7,7,30,0.0,0,0.0,0.0,30,1.0,1.0,4
2021-07,0.0,18,7,7,27,0.0,0,0.0,1.0,27,1.0,0.5,3
2021-08,0.0,20,8,8,27,0.0,0,0.0,0.0,27,1.0,0.5,3
2021-09,0.0,19,8,8,26,0.0,0,0.0,0.0,26,1.0,0.5,3
2021-10,1.0,13,6,6,23,0.0,0,1.0,0.0,23,1.0,0.5,3
2021-11,1.0,17,6,6,25,0.0,0,1.0,0.0,25,1.0,0.5,3
2021-12,0.0,15,7,7,21,0.0,0,0.0,0.0,21,1.0,0.5,3
2022-01,1.0,16,11,11,25,0.0,0,1.0,1.0,25,1.0,0.5,3
2022-02,1.0,18,7,8,24,0.0,0,1.0,1.0,24,1.0,1.0,3
2022-03,1.0,17,7,7,31,0.0,0,1.0,1.0,31,1.0,1.0,4
2022-04,0.5,14,8,8,27,0.0,0,0.5,0.0,27,1.0,0.5,3
2022-05,0.0,13,8,8,26,0.0,0,0.0,0.0,26,1.0,1.0,3
2022-06,0.0,16,8,8,28,0.0,0,0.0,0.0,28,1.0,0.5,4
2022-07,1.0,12,6,6,21,0.0,0,1.0,0.0,21,1.0,0.5,3
2022-08,1.0,15,7,7,28,0.0,0,1.0,1.0,28,1.0,0.5,4
2022-09,1.0,15,6,6,30,0.0,0,1.0,1.0,30,1.0,1.0,4
2022-10,1.0,14,7,7,26,0.0,0,1.0,1.0,26,1.0,0.5,3
2022-11,1.0,12,4,4,28,0.0,0,1.0,1.0,28,1.0,0.5,4
2022-12,0.0,10,6,6,19,0.0,0,0.0,0.0,19,1.0,0.5,2
2023-01,0.0,12,7,7,20,0.0,0,0.0,1.0,20,1.0,0.5,3
2023-02,1.0,15,8,8,23,0.0,0,1.0,1.0,23,1.0,0.5,3
2023-03,1.0,12,6,6,25,0.0,0,1.0,1.0,25,1.0,0.5,3
2023-04,0.0,10,5,5,20,0.0,0,0.0,0.0,20,1.0,0.5,3
2023-05,0.5,14,6,6,25,0.0,0,0.5,0.5,25,1.0,0.5,3
2023-06,0.0,12,5,5,26,0.0,0,0.0,0.0,26,1.0,0.5,3
2023-07,0.5,13,7,7,23,0.0,0,0.5,0.0,23,1.0,0.5,3
2023-08,0.0,12,9,9,27,0.0,0,0.0,0.5,27,1.0,0.5,3
2023-09,0.5,11,7,7,23,0.0,0,0.5,1.0,23,1.0,0.5,3
2023-10,1.0,11,5,5,22,0.0,0,1.0,1.0,22,1.0,0.5,3
2023-11,0.0,14,6,6,24,0.0,0,0.0,0.0,24,1.0,0.5,3
2023-12,1.0,14,5,5,23,0.0,0,1.0,0.0,23,1.0,0.5,3
2024-01,0.0,15,9,9,21,0.0,0,0.0,1.0,21,1.0,0.5,3
2024-02,1.0,15,9,9,24,0.0,0,1.0,1.0,24,1.0,0.5,3
2024-03,1.0,13,8,8,23,0.0,0,1.0,1.0,23,1.0,0.5,3
2024-04,1.0,13,9,10,19,0.0,0,1.0,1.0,19,1.0,0.5,2
2024-05,1.0,14,15,14,22,0.0,0,1.0,1.0,22,2.0,0.5,3
2024-06,0.0,12,6,6,19,0.0,0,0.0,0.0,19,1.0,0.5,2
2024-07,0.0,11,5,6,21,0.0,0,0.0,0.0,21,1.0,0.5,3
2024-08,0.0,13,5,5,23,0.0,0,0.0,0.0,23,1.0,0.5,3
2024-09,1.0,15,7,7,25,0.0,0,1.0,1.0,25,1.0,0.5,3
2024-10,1.0,16,5,5,25,0.0,0,1.0,1.0,25,1.0,0.5,3
2024-11,1.0,16,5,5,23,0.0,0,1.0,1.0,23,1.0,0.5,3
2024-12,0.0,15,5,5,23,0.0,0,0.0,0.0,23,1.0,0.5,3
2025-01,0.0,13,4,4,22,0.0,0,0.0,0.0,22,1.0,0.5,3
2025-02,1.0,13,4,4,21,0.0,0,1.0,0.0,21,1.0,0.5,3
2025-03,0.0,12,4,4,21,0.0,0,0.0,0.0,21,0.5,0.5,3
2025-04,0.0,11,6,6,20,0.0,0,0.0,0.0,20,1.0,0.5,3
2025-05,0.0,13,5,4,20,0.0,0,0.0,0.5,20,1.0,0.5,3
2025-06,0.0,11,5,5,20,0.5,0,0.0,0.0,20,1.0,0.5,3
2025-07,0.0,12,5,5,18,0.0,0,0.0,0.0,18,1.0,0.5,2
2025-08,0.0,11,5,5,19,0.0,0,0.0,1.0,19,1.0,0.5,2
2025-09,0.5,12,6,6,17,0.0,0,0.5,0.5,17,1.0,0.5,2
