Category: All categories

Month,cash grant: (Rajshahi Division),cash grant: (Rajshahi Division),army: (Rajshahi Division),Email: (Rajshahi Division)
2018-11,0,0,25,40
2018-12,0,0,35,39
2019-01,0,0,26,23
2019-02,0,0,27,31
2019-03,0,0,22,30
2019-04,0,0,20,29
2019-05,0,0,24,29
2019-06,0,0,22,18
2019-07,0,0,16,21
2019-08,0,0,23,27
2019-09,0,0,20,26
2019-10,0,0,23,26
2019-11,0,0,24,29
2019-12,0,0,25,21
2020-01,0,0,26,25
2020-02,0,0,20,27
2020-03,0,0,20,30
2020-04,0,0,22,37
2020-05,0,0,20,40
2020-06,0,0,23,43
2020-07,0,0,24,47
2020-08,0,0,32,46
2020-09,0,0,27,46
2020-10,0,0,27,43
2020-11,0,0,33,41
2020-12,0,0,38,39
2021-01,0,0,32,35
2021-02,0,0,25,34
2021-03,0,0,22,32
2021-04,0,0,18,31
2021-05,0,0,22,29
2021-06,0,0,21,30
2021-07,0,0,21,27
2021-08,0,0,28,27
2021-09,2,0,25,26
2021-10,0,0,17,23
2021-11,0,0,21,25
2021-12,0,0,23,21
2022-01,0,0,30,25
2022-02,0,0,19,24
2022-03,0,0,24,31
2022-04,0,0,22,27
2022-05,0,0,22,26
2022-06,0,0,25,28
2022-07,0,0,21,21
2022-08,0,0,24,28
2022-09,0,0,21,30
2022-10,0,0,19,26
2022-11,0,0,14,28
2022-12,0,0,28,19
2023-01,0,0,19,20
2023-02,0,0,23,23
2023-03,0,0,20,25
2023-04,0,0,15,20
2023-05,0,0,16,25
2023-06,0,0,16,26
2023-07,0,0,17,23
2023-08,0,0,17,27
2023-09,0,0,15,23
2023-10,0,0,14,22
2023-11,0,0,13,24
2023-12,0,0,28,23
2024-01,0,0,28,21
2024-02,0,0,18,24
2024-03,0,0,16,23
2024-04,0,0,15,19
2024-05,0,0,14,22
2024-06,0,0,13,19
2024-07,0,0,13,21
2024-08,0,0,27,23
2024-09,0,0,17,25
2024-10,0,0,16,25
2024-11,0,0,20,23
2024-12,0,0,22,23
2025-01,0,0,16,22
2025-02,0,0,14,21
2025-03,0,0,14,21
2025-04,0,0,13,20
2025-05,0,0,13,20
2025-06,0,0,12,20
2025-07,0,0,14,18
2025-08,0,0,14,19
2025-09,0,0,15,18
