Category: All categories

Month,church: (Sylhet Division),men: (Sylhet Division),women: (Sylhet Division),young men: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,100,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,77,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,59
2014-04,0,0,0,0,0
2014-05,0,0,38,0,0
2014-06,0,0,52,0,45
2014-07,0,0,38,0,0
2014-08,0,0,47,0,28
2014-09,0,32,36,0,0
2014-10,0,12,27,0,8
2014-11,0,11,28,0,13
2014-12,0,11,24,0,14
2015-01,0,14,24,0,13
2015-02,0,11,20,0,16
2015-03,0,18,26,0,10
2015-04,0,12,27,0,11
2015-05,0,11,27,0,11
2015-06,0,11,25,0,18
2015-07,0,0,67,0,48
2015-08,18,0,35,0,19
2015-09,0,21,36,0,19
2015-10,0,27,0,0,34
2015-11,0,0,0,0,36
2015-12,0,34,26,0,42
2016-01,0,22,29,0,25
2016-02,0,14,30,0,21
2016-03,0,12,42,0,22
2016-04,0,18,33,0,20
2016-05,0,21,34,0,23
2016-06,0,25,33,0,13
2016-07,0,16,32,0,25
2016-08,0,18,29,0,20
2016-09,0,28,33,0,15
2016-10,0,20,31,0,25
2016-11,0,18,19,0,20
2016-12,0,19,28,0,19
2017-01,0,14,33,0,22
2017-02,0,20,32,0,20
2017-03,0,18,27,0,17
2017-04,0,19,34,0,20
2017-05,0,17,31,0,20
2017-06,0,23,30,0,11
2017-07,0,20,42,0,19
2017-08,0,17,31,0,15
2017-09,0,24,33,4,13
2017-10,0,19,32,0,15
2017-11,0,18,36,0,19
2017-12,0,16,32,0,16
2018-01,0,20,27,0,15
2018-02,0,16,31,0,15
2018-03,0,17,31,0,21
2018-04,0,17,33,0,19
2018-05,0,15,27,0,15
2018-06,0,16,24,0,16
2018-07,0,16,30,0,19
2018-08,0,21,32,0,19
2018-09,2,17,25,0,15
2018-10,0,15,31,0,17
2018-11,2,19,35,0,19
2018-12,0,20,26,0,14
2019-01,0,17,26,0,15
2019-02,0,18,28,0,20
2019-03,0,16,29,0,20
2019-04,2,17,27,0,22
2019-05,0,21,24,0,27
2019-06,0,15,25,0,20
2019-07,0,19,25,0,22
2019-08,0,20,25,0,21
2019-09,0,17,26,0,20
2019-10,0,17,25,0,20
2019-11,0,19,24,0,19
2019-12,0,20,28,0,16
2020-01,0,20,24,0,18
2020-02,0,19,34,0,20
2020-03,0,15,25,0,20
2020-04,0,16,20,0,19
2020-05,1,17,22,0,19
2020-06,2,15,20,0,23
2020-07,0,17,20,0,24
2020-08,1,17,19,0,20
2020-09,1,13,22,0,21
2020-10,1,17,19,0,20
2020-11,2,19,22,0,18
2020-12,0,18,22,0,19
2021-01,1,17,23,0,16
2021-02,1,18,19,0,17
2021-03,0,17,23,0,17
2021-04,1,13,19,0,14
2021-05,2,17,19,0,15
2021-06,1,14,21,0,17
2021-07,1,15,23,0,14
2021-08,1,15,20,0,15
2021-09,1,15,20,0,14
2021-10,1,15,20,0,14
2021-11,2,16,24,0,16
2021-12,2,17,21,0,13
2022-01,0,15,20,0,14
2022-02,1,14,19,0,15
2022-03,1,15,28,0,16
2022-04,1,15,17,0,16
2022-05,1,15,18,0,17
2022-06,2,14,19,0,18
2022-07,1,15,21,0,16
2022-08,1,14,21,0,17
2022-09,1,16,25,0,21
2022-10,1,14,32,0,19
2022-11,2,14,18,<1,18
2022-12,1,13,19,0,11
2023-01,1,15,21,0,13
2023-02,1,15,26,1,14
2023-03,1,15,18,0,14
2023-04,1,17,15,<1,12
2023-05,<1,15,17,0,17
2023-06,1,15,19,0,17
2023-07,1,15,32,0,13
2023-08,1,14,28,0,16
2023-09,0,14,21,0,15
2023-10,1,14,21,0,14
2023-11,1,16,20,0,15
2023-12,1,17,28,0,12
2024-01,1,15,19,0,12
2024-02,0,16,19,0,14
2024-03,<1,14,23,0,13
2024-04,1,15,24,0,12
2024-05,1,14,23,0,12
2024-06,0,14,24,<1,11
2024-07,1,14,25,0,12
2024-08,1,14,19,0,12
2024-09,0,14,21,0,13
2024-10,1,15,41,0,13
2024-11,1,16,24,0,13
2024-12,1,19,31,0,13
2025-01,1,17,29,0,14
2025-02,1,15,18,0,11
2025-03,1,16,26,0,11
2025-04,1,15,31,0,11
2025-05,1,14,20,0,12
2025-06,1,14,22,0,12
2025-07,0,12,28,0,12
2025-08,1,13,20,0,11
2025-09,1,12,18,<1,11
