Month,governorate,governorate(2),province,province(2),Email,province_file1,state,civil,civil(2),Email_file1,civil_file2,society,Email_file2
2004-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-04,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-06,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-08,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-09,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-10,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-11,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2004-12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-04,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-06,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-08,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-09,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-10,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-11,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2005-12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-04,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-06,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-08,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-09,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-10,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-11,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2006-12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-04,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-06,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-08,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-09,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-10,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-11,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2007-12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-04,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-06,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-08,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-09,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-10,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-11,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2008-12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-04,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-06,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-08,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-09,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-10,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-11,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2009-12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-04,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-06,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-08,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-09,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-10,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-11,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2010-12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-04,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-06,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-08,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-09,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-10,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-11,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2011-12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-04,0.0,100.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-06,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-08,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-09,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-10,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-11,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2012-12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-04,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-06,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-08,0.0,0.0,0.0,0.0,44,0.0,0,0,0,100,0,0,100
2013-09,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-10,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-11,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2013-12,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2014-01,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2014-02,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2014-03,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2014-04,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2014-05,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2014-06,0.0,0.0,0.0,0.0,17,0.0,0,0,0,38,0,0,38
2014-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2014-08,0.0,0.0,0.0,0.0,11,0.0,0,0,0,25,0,0,25
2014-09,0.0,0.0,0.0,0.0,11,0.0,0,0,23,25,0,0,25
2014-10,0.0,0.0,0.0,0.0,4,0.0,4,4,4,9,4,0,9
2014-11,0.0,0.0,0.0,0.0,6,0.0,5,0,2,13,0,0,13
2014-12,0.0,0.0,0.0,0.0,6,0.0,8,4,4,13,4,0,13
2015-01,0.0,0.0,0.0,0.0,6,0.0,5,0,0,12,0,0,12
2015-02,0.0,0.0,0.0,0.0,7,0.0,8,0,0,15,0,0,15
2015-03,0.0,0.0,0.0,0.0,5,0.0,7,0,4,11,0,0,11
2015-04,0.0,0.0,0.0,0.0,5,0.0,5,0,0,11,0,0,11
2015-05,0.0,0.0,0.0,0.0,5,0.0,5,3,3,10,3,0,10
2015-06,0.0,0.0,0.0,0.0,7,0.0,7,0,0,16,0,0,16
2015-07,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2015-08,0.0,0.0,0.0,0.0,8,0.0,0,0,0,19,0,0,19
2015-09,0.0,0.0,0.0,0.0,8,0.0,0,0,0,17,0,0,17
2015-10,0.0,0.0,0.0,0.0,12,0.0,0,0,0,28,0,0,28
2015-11,0.0,0.0,0.0,0.0,12,0.0,0,0,0,27,0,0,27
2015-12,0.0,0.0,0.0,0.0,17,0.0,25,0,0,39,0,0,39
2016-01,0.0,0.0,0.0,0.0,11,0.0,14,0,0,25,0,0,25
2016-02,0.0,0.0,0.0,0.0,7,0.0,11,0,0,17,0,0,17
2016-03,0.0,0.0,0.0,0.0,9,0.0,7,0,11,20,0,0,20
2016-04,0.0,0.0,0.0,0.0,7,0.0,6,8,11,16,8,6,16
2016-05,0.0,0.0,0.0,0.0,11,0.0,17,29,29,24,29,0,24
2016-06,0.0,0.0,0.0,0.0,8,0.0,15,17,13,17,17,0,17
2016-07,0.0,0.0,0.0,0.0,9,0.0,11,0,0,20,0,0,20
