Category: All categories

Month,department: (Rangpur Division),judge: (Rangpur Division),elections: (Rangpur Division),army: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,100,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,85
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,92,0
2016-07,0,0,0,68,0
2016-08,0,0,0,0,65
2016-09,0,0,0,0,47
2016-10,0,0,0,60,51
2016-11,0,0,0,64,95
2016-12,0,0,0,65,84
2017-01,31,0,0,31,0
2017-02,0,0,0,34,69
2017-03,0,0,0,45,97
2017-04,0,0,0,0,78
2017-05,0,0,0,30,65
2017-06,34,0,0,40,57
2017-07,0,0,0,36,53
2017-08,0,0,0,31,33
2017-09,0,0,0,44,45
2017-10,22,0,0,43,87
2017-11,24,0,0,47,66
2017-12,0,0,0,42,53
2018-01,0,16,0,43,41
2018-02,18,0,0,52,57
2018-03,18,15,0,25,47
2018-04,22,0,0,15,71
2018-05,17,0,0,29,57
2018-06,16,0,0,43,51
2018-07,19,0,0,35,45
2018-08,17,0,0,35,43
2018-09,19,0,0,36,47
2018-10,19,0,0,27,42
2018-11,18,0,0,46,54
2018-12,11,0,0,36,46
2019-01,25,0,0,35,49
2019-02,17,0,0,45,53
2019-03,15,0,0,25,52
2019-04,13,0,0,28,48
2019-05,17,0,0,33,59
2019-06,9,5,0,32,36
2019-07,13,0,0,31,50
2019-08,10,0,0,29,43
2019-09,14,7,0,31,51
2019-10,13,5,0,44,59
2019-11,20,0,0,44,44
2019-12,16,0,0,42,44
2020-01,19,4,0,41,42
2020-02,16,0,0,42,51
2020-03,15,4,0,26,38
2020-04,7,1,0,22,39
2020-05,6,2,0,22,37
2020-06,8,2,0,30,45
2020-07,7,2,0,31,46
2020-08,7,2,0,41,40
2020-09,7,3,0,35,38
2020-10,10,2,0,28,40
2020-11,8,2,3,43,34
2020-12,10,1,0,43,36
2021-01,9,0,0,41,40
2021-02,11,2,0,32,41
2021-03,10,0,0,28,37
2021-04,6,1,0,22,37
2021-05,5,1,1,27,36
2021-06,8,0,0,25,33
2021-07,7,1,0,23,30
2021-08,9,1,0,28,32
2021-09,11,1,0,24,31
2021-10,12,3,0,23,30
2021-11,14,0,0,36,39
2021-12,13,3,0,38,28
2022-01,12,2,0,46,33
2022-02,14,0,0,28,30
2022-03,14,1,0,35,38
2022-04,11,1,0,32,35
2022-05,10,1,0,27,35
2022-06,11,2,0,31,37
2022-07,8,1,0,29,27
2022-08,14,1,0,28,33
2022-09,11,2,0,29,37
2022-10,11,1,0,24,35
2022-11,11,1,1,21,35
2022-12,9,1,0,38,26
2023-01,10,2,0,30,27
2023-02,10,0,0,30,28
2023-03,10,1,0,27,29
2023-04,9,2,0,19,26
2023-05,14,2,1,21,31
2023-06,13,2,0,23,30
2023-07,11,1,0,23,23
2023-08,13,2,0,23,27
2023-09,9,2,0,22,24
2023-10,12,1,0,21,25
2023-11,12,0,0,19,26
2023-12,10,1,0,33,24
2024-01,10,1,1,35,24
2024-02,8,1,0,24,27
2024-03,9,2,0,23,26
2024-04,9,1,0,19,21
2024-05,12,2,2,17,26
2024-06,8,1,4,15,21
2024-07,7,1,2,18,26
2024-08,6,1,0,29,26
2024-09,9,1,0,20,26
2024-10,10,2,0,21,28
2024-11,9,4,4,28,27
2024-12,8,2,0,32,24
2025-01,10,2,0,22,26
2025-02,9,2,0,17,27
2025-03,8,2,0,19,29
2025-04,10,1,1,19,25
2025-05,12,2,0,14,26
2025-06,10,2,0,16,24
2025-07,12,1,0,17,22
2025-08,13,0,0,20,28
2025-09,12,1,1,24,22
