Month,ব্রিজ,চেকপয়েন্ট,বাস,বিশ্ববিদ্যালয়,Email,পয়ঃনিষ্কাশন,ব্যবস্থা,সিস্টেম,শাসনব্যবস্থা,Email_file1,বেকারি,জনসাধারণ,স্কয়ার,উদ্যান,Email_file2,পার্ক,আবাসন কমপ্লেক্স,আবাসিক কমপ্লেক্স,হাউজিং কমপ্লেক্স,Email_file3,ভবন,বিল্ডিং,বিদ্যুৎ,অর্থায়ন,Email_file4,ফান্ডিং,নিয়োগ,সক্ষমতা,সামর্থ,Email_file5,যানজট,ট্রাফিক,অতিরিক্ত ভিড়,ক্ষতি,Email_file6,ভাঙা,খোলা,বন্ধ,প্রকল্প,Email_file7,প্রজেক্ট,অপেক্ষা,বিলম্ব,দেরী,Email_file8,প্রাথমিক,প্রাইমারী,মাধ্যমিক,তৃতীয়,Email_file9,উচ্চমাধ্যমিক,উপেক্ষা,বসতি,দোকান,Email_file10,ইউনিভার্সিটি,বাজার,স্টেশন,ক্যাফে,Email_file11,পুনর্বাসন,বস্তি,অপসারণ,উন্নয়নজনিত পুনর্বাসন,Email_file12,বিঘ্ন,ঔষধালয়,পয়ঃনিষ্কাশন_file13,হোটেল,Email_file13,ভোটকেন্দ্র,অফিস,অধিদপ্তর,স্যানিটেশন,Email_file14,শহরতলি,উপশহর,শহরতলিগুলো,উপশহরগুলো,Email_file15,বীমা,বিদ্যুৎ কেন্দ্র,শক্তি,অগ্নি,Email_file16,বিপণিবিতান,অপর্যাপ্ত,উন্নতি,ভোটকেন্দ্র_file17,Email_file17,আবাসন,পানীয় জল,সেলুন,সেবা,Email_file18,সার্ভিস,যোগাযোগ,বিদ্যুৎ লাইন,মদ বিক্রয়কেন্দ্র,Email_file19,মদের দোকান,ট্যাক্সি,একক,আবাসিক ইউনিট,Email_file20,আবাসন সংকট,ভিড়,পরিষ্কার,নোংরা,Email_file21,রেস্তোরাঁ,রেস্টুরেন্ট,আঙ্গিনা,বন্দর,Email_file22,ব্যর্থতা,পুনর্গঠন,যন্ত্রপাতি,চিকিৎসা,Email_file23,ইন্টারনেট,টেলিফোন লাইন,বিদ্যুৎ উৎপাদক,জেনারেটর,Email_file24,অবকাঠামো,সামরিক,মিলিটারি,বিদ্যালয়,Email_file25,কলেজ,নার্সারি,বাঁধ,লবণমুক্তকরণ,Email_file26,বিশুদ্ধকরণ,কারখানা,ফ্যাক্টরি,Email_file27,পোর্ট,বন্দর_file28,পাইপলাইন,সীমান্ত,Email_file28,বর্ডার,মন্ত্রণালয়,বাড়িগুলো,বাড়ি,Email_file29,চিকিৎসাকেন্দ্র,ক্লিনিক,ঔষধালয়_file30,ফার্মেসি,Email_file30,আদালত,কোর্ট,কারাগার,জেল,Email_file31,পুলিশ,বিমানবন্দর,এয়ারপোর্ট,সেনাবাহিনী,Email_file32,আর্মি,সড়ক,রোড,সড়ক,Email_file33,স্কুল,হাসপাতাল,হসপিটাল,সেতু,Email_file34
2004-01,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2004-02,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2004-03,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2004-04,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2004-05,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2004-06,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,71.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2004-07,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2004-08,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2004-09,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,80.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2004-10,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
